Sample Num,Wear_Avg,Adhesion_Avg,WRS,AS,CRI,CRI_final,Rank
S08,0.53875,79.5,0.8380765456329735,1.0,0.9028459273797841,0.9028459273797841,1
S06,0.51625,67.05000000000001,0.8557409224730128,0.6948529411764709,0.791385729954396,0.791385729954396,2
S09,0.469,56.165,0.8928361138370953,0.428063725490196,0.7069271584983357,0.7069271584983357,3
S14,0.5133333333333333,55.05,0.8580307491004253,0.40073529411764697,0.6751125671073139,0.6751125671073139,4
S04,0.47125000000000006,49.645,0.8910696761530912,0.2682598039215687,0.6419457272604822,0.5740274497439525,5
S13,1.09125,65.39,0.4043179587831206,0.6541666666666667,0.504257441936539,0.504257441936539,6
S01,0.89,54.1,0.5623159960745829,0.37745098039215685,0.4883699898016125,0.4883699898016125,7
S15,0.9262500000000001,55.65,0.5338567222767419,0.41544117647058815,0.48649050395428034,0.48649050395428034,8
S03,1.16125,65.69999999999999,0.3493621197252209,0.6617647058823526,0.4743231541880736,0.4743231541880736,9
S11,1.3909999999999998,74.685,0.16898920510304238,0.8819852941176471,0.4541876407088843,0.4541876407088843,10
S07,0.3325,45.25,1.0,0.16053921568627444,0.6642156862745098,0.35544221773676776,11
S12,1.60625,70.375,0.0,0.7763480392156863,0.3105392156862745,0.3105392156862745,12
S05,0.5225,44.895,0.8508341511285574,0.15183823529411766,0.5712357847947815,0.2891181116669667,13
S10,1.1749999999999998,40.989999999999995,0.33856722276741913,0.056127450980391964,0.22559131405260827,0.04220621807029993,14
S02,0.5283333333333333,38.7,0.8462544978737324,0.0,0.5077526987242394,0.0,15
