rpm,setup,cut,pass,file,Fx_rms,Fy_rms,Fz_rms,F_rms,F_peak,crest_factor,error,F_rms_n,crest_n,MSI
2500,1,,18,"01_data/ornl_raw/Cutting data/Spindle Velocity = +2500 rpm/Cutting, Setup 01, Pass 18/Pass 18.txt",47.122347341595706,208.71571916473624,29.546207622823363,215.99941071754344,1009.8967960597967,4.675460885309574,,1.0,0.5551209812139418,0.8665362943641826
2500,1,,17,"01_data/ornl_raw/Cutting data/Spindle Velocity = +2500 rpm/Cutting, Setup 01, Pass 17/Pass 17.txt",45.206407469816554,198.70965622952303,26.46827036027065,205.49870094734587,887.4009940799723,4.318280310235846,,0.9226121807735358,0.4821052772081663,0.790460109703925
2500,1,,16,"01_data/ornl_raw/Cutting data/Spindle Velocity = +2500 rpm/Cutting, Setup 01, Pass 16/Pass 16.txt",46.03972801265731,193.81025218524258,24.74250302539448,200.73430664325528,756.9143259543465,3.770727279316185,,0.8874996890279783,0.3701731822871517,0.7323017370057302
2500,1,,15,"01_data/ornl_raw/Cutting data/Spindle Velocity = +2500 rpm/Cutting, Setup 01, Pass 15/Pass 15.txt",44.90255522380894,182.65170322450996,21.297792198579263,189.29204977752113,626.7465121336998,3.311002828012717,,0.8031728839598727,0.2761952148300393,0.6450795832209226
2500,1,,14,"01_data/ornl_raw/Cutting data/Spindle Velocity = +2500 rpm/Cutting, Setup 01, Pass 14/Pass 14.txt",46.4043943060918,170.7941260228361,17.066327833655365,177.80680763273796,476.79238401972236,2.681519286958573,,0.7185292872579402,0.14751468985851934,0.5472249080381139
2500,1,,13,"01_data/ornl_raw/Cutting data/Spindle Velocity = +2500 rpm/Cutting, Setup 01, Pass 13/Pass 13.txt",47.12937262821402,162.90857047007006,12.040705314620954,170.01576009712855,333.21425729260255,1.9599021708472093,,0.6611110563511369,0.0,0.46277773944579575
2500,1,,6,"01_data/ornl_raw/Cutting data/Spindle Velocity = +2500 rpm/Cutting, Setup 01, Pass 06/Pass 06.txt",56.12537914437091,106.69325748065089,19.749794220388733,122.16203889784893,654.6807522097797,5.359117759627555,,0.30844012204973253,0.6948757480189715,0.42437080984050424
2500,1,,5,"01_data/ornl_raw/Cutting data/Spindle Velocity = +2500 rpm/Cutting, Setup 01, Pass 05/Pass 05.txt",52.763797692518004,104.70746570964619,19.053464727174944,118.78849372049216,596.6523719260572,5.022812843556783,,0.28357786892103914,0.6261274959550345,0.38634275703123777
2500,1,,4,"01_data/ornl_raw/Cutting data/Spindle Velocity = +2500 rpm/Cutting, Setup 01, Pass 04/Pass 04.txt",50.84476769543931,98.84338485541137,15.876340221311374,112.28207029842737,501.15233773947244,4.463333606224815,,0.23562702268142274,0.5117574175094873,0.3184661411298421
5000,1,,11,"01_data/ornl_raw/Cutting data/Spindle Velocity = +5000 rpm/Cutting, Setup 01, Pass 11/Pass 11.txt",36.73111723891085,73.08746712256756,12.904197778170662,82.8098493194448,567.3910943568495,6.851734413476492,,0.01842352318112253,1.0,0.31289646622678574
5000,1,,12,"01_data/ornl_raw/Cutting data/Spindle Velocity = +5000 rpm/Cutting, Setup 01, Pass 12/Pass 12.txt",36.73111723891085,73.08746712256756,12.904197778170662,82.8098493194448,567.3910943568495,6.851734413476492,,0.01842352318112253,1.0,0.31289646622678574
2500,1,,3,"01_data/ornl_raw/Cutting data/Spindle Velocity = +2500 rpm/Cutting, Setup 01, Pass 03/Pass 03.txt",48.02692822031133,97.42995053829789,15.273428289399732,109.69256450592057,426.8789703903191,3.891594405811114,,0.21654295974263463,0.39488112820599314,0.27004441028164217
5000,1,,10,"01_data/ornl_raw/Cutting data/Spindle Velocity = +5000 rpm/Cutting, Setup 01, Pass 10/Pass 10.txt",34.25758798989374,72.82708429054485,11.849020149646337,81.34965162589303,496.52483908075703,6.1035890032344104,,0.0076622015546361855,0.8470623330615351,0.25948224100670586
5000,1,,9,"01_data/ornl_raw/Cutting data/Spindle Velocity = +5000 rpm/Cutting, Setup 01, Pass 09/Pass 09.txt",33.5878167544397,72.36044410517648,9.247500443509518,80.30997179604098,426.5544404408474,5.311350893312975,,0.0,0.6851111314202415,0.20553333942607244
2500,1,,2,"01_data/ornl_raw/Cutting data/Spindle Velocity = +2500 rpm/Cutting, Setup 01, Pass 02/Pass 02.txt",47.30759254994381,90.96104895346939,11.297300882238204,103.14819313400876,329.2302884302651,3.1918182803505855,,0.1683124458284472,0.25183122568431343,0.19336807978520706
5000,1,,8,"01_data/ornl_raw/Cutting data/Spindle Velocity = +5000 rpm/Cutting, Setup 01, Pass 08/Pass 08.txt",32.39819185396442,73.22125845983699,7.820017167560193,80.44966248748015,345.7200270867207,4.297345898008192,,0.0010294883120563494,0.47782581479217767,0.14406838625609275
2500,1,,1,"01_data/ornl_raw/Cutting data/Spindle Velocity = +2500 rpm/Cutting, Setup 01, Pass 01/Pass 01.txt",45.73453334871423,92.29313464372284,7.861707137971442,103.30283966141609,234.74865221411548,2.2724317451826304,,0.16945215521656537,0.06388804007053221,0.1377829206727554
5000,1,,7,"01_data/ornl_raw/Cutting data/Spindle Velocity = +5000 rpm/Cutting, Setup 01, Pass 07/Pass 07.txt",32.86710246307261,81.43715280165686,5.680008663606882,88.00294755959695,284.771687477862,3.2359335155792026,,0.05669546447167799,0.26084936715780477,0.11794163527751601
